Device,Test Name,Test Status,Message(s),Test description,Test category
pod1-leaf-1,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
pod1-leaf-1,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
pod1-leaf-1,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
pod1-leaf-1,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
pod1-leaf-1,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
pod1-leaf-1,VerifyReachability,success,,Verifies reachability to IPv4 BGP neighbors with an update source configured.,Connectivity
pod1-leaf-1,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
pod1-leaf-1,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies status.,Hardware
pod1-leaf-1,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
pod1-leaf-1,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
pod1-leaf-1,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
pod1-leaf-1,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in all port channels.,Interfaces
pod1-leaf-1,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
pod1-leaf-1,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
pod1-leaf-1,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
pod1-leaf-1,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
pod1-leaf-1,VerifyPortChannels,success,,Verifies there are no inactive ports in all port channels.,Interfaces
pod1-leaf-1,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on vEOS-lab,Verifies there are no interface storm-control drop counters.,Interfaces
pod1-leaf-1,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
pod1-leaf-1,VerifyMlagReloadDelay,success,,Verifies the reload-delay parameters of the MLAG configuration.,MLAG
pod1-leaf-1,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
pod1-leaf-1,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
pod1-leaf-1,VerifyTelnetStatus,success,,Verifies if Telnet is disabled in the default VRF.,Security
pod1-leaf-1,VerifyDNSServers,success,,Verifies if the DNS (Domain Name Service) servers are correctly configured.,Services
pod1-leaf-1,VerifySTPBlockedPorts,success,,Verifies there is no STP blocked ports.,STP
pod1-leaf-1,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
pod1-leaf-1,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
pod1-leaf-1,VerifyCoredump,success,,Verifies there are no core dump files.,System
pod1-leaf-1,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
pod1-leaf-1,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
pod1-leaf-1,VerifyNTP,success,,Verifies if NTP is synchronised.,System
pod1-leaf-1,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
pod1-leaf-10,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
pod1-leaf-10,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
pod1-leaf-10,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
